date,max_wind_speed,mean_wind_speed,precipitation_height,precipitation_catgeory,mean_temperature,max_temperature,min_temperature
20230306,11.7,2.9,1.6,8,1.6,5.3,-3.1
20230307,18.5,6.9,0.7,8,2.3,5.6,-1.8
20230308,7.2,2.8,0.0,8,0.7,3.8,-3.1
20230309,7.2,2.9,0.8,8,1.4,4.5,-1.2
20230310,10.5,4.6,8.1,8,0.7,1.9,-0.1
20230311,18.7,4.7,1.1,8,1.3,5.9,-2.1
20230312,11.8,4.1,5.2,6,2.3,6.9,-1.6
20230313,20.1,7.4,2.7,6,11.5,16.4,6.6
20230314,19.2,7.2,5.1,8,6.6,11.4,0.6
20230315,19.0,4.2,1.9,8,2.3,7.0,-2.1
20230316,15.3,6.1,0.0,0,4.6,9.8,-2.3
20230317,10.3,5.1,0.1,6,10.0,16.8,4.2
20230318,9.6,3.0,0.1,6,11.7,16.1,9.2
20230319,8.1,2.4,0.1,6,10.9,16.2,6.8
20230320,9.6,3.5,0.4,6,8.1,10.8,6.9
20230321,8.9,4.1,2.7,6,9.0,10.5,7.2
20230322,15.9,7.0,4.3,6,11.1,13.6,8.5
20230323,17.8,5.8,17.2,6,11.1,13.9,8.3
20230324,18.0,6.8,4.1,6,11.4,14.8,8.0
20230325,16.1,5.8,15.6,6,8.2,10.4,6.2
20230326,12.3,5.0,0.0,6,6.2,9.4,1.1
20230327,19.2,5.2,3.2,8,2.7,6.8,-0.2
20230328,11.8,3.3,0.1,6,3.6,7.7,-3.3
20230329,10.1,3.8,0.3,6,7.4,10.8,3.4
20230330,16.3,5.0,10.6,6,11.4,15.6,8.7
20230331,8.7,3.6,7.1,6,10.7,12.5,9.8
20230401,15.1,6.6,1.9,6,6.1,10.0,1.1
20230402,14.9,5.4,0.0,0,3.7,8.0,-1.0
20230403,9.3,2.7,0.0,0,2.7,8.6,-3.6
20230404,6.2,1.5,0.0,0,2.4,8.1,-2.8
20230405,7.2,1.7,0.0,6,3.7,9.8,-3.8
20230406,11.3,4.2,0.0,0,6.5,12.8,-1.3
20230407,11.3,5.4,0.0,6,6.5,11.2,2.8
20230408,8.7,3.4,0.0,0,5.9,6.8,4.7
20230409,7.2,2.6,0.0,0,8.1,13.2,5.8
20230410,15.6,6.7,2.2,6,11.8,17.6,5.1
20230411,15.3,4.9,3.4,6,7.3,10.1,2.3
20230412,13.4,5.2,8.7,6,7.0,10.4,2.9
20230413,16.8,4.6,0.8,6,7.0,13.2,2.5
20230414,8.7,2.9,1.2,6,7.5,12.9,0.6
20230415,12.2,4.3,0.0,6,9.6,14.2,6.9
20230416,7.7,3.0,0.0,6,9.1,10.9,7.1
20230417,13.7,4.0,0.0,0,9.2,14.2,5.1
20230418,12.3,4.7,0.0,0,7.8,12.1,3.4
20230419,19.7,6.6,1.3,6,8.8,13.4,2.3
20230420,16.8,5.1,3.3,6,7.9,12.6,5.5
20230421,13.2,5.8,0.0,0,12.6,19.5,6.3
20230422,13.7,5.7,0.3,6,16.3,22.6,8.9
20230423,17.3,3.2,2.7,6,12.8,18.6,9.1
20230424,13.4,6.1,5.1,6,10.3,12.8,7.1
20230425,17.8,5.9,2.2,6,6.2,9.9,3.3
20230426,13.7,4.9,0.0,6,6.0,10.1,2.5
20230427,10.3,2.9,0.0,6,6.1,10.3,1.4
20230428,11.8,3.9,8.8,6,9.0,13.8,2.4
20230429,13.9,4.9,0.0,0,9.7,15.0,3.0
20230430,6.9,1.8,0.0,0,7.8,14.3,0.1
20230501,8.2,3.3,0.0,6,11.7,19.2,3.9
20230502,13.2,5.6,0.0,0,8.2,10.8,2.0
20230503,8.1,2.3,0.0,0,7.7,12.9,1.1
20230504,11.3,3.8,0.0,0,9.9,16.8,1.2
20230505,13.9,6.8,1.6,6,11.2,16.5,7.2
20230506,9.8,4.2,0.0,6,8.5,9.8,7.5
20230507,13.2,6.3,0.0,0,11.5,16.0,8.4
20230508,14.1,6.2,0.0,0,13.5,19.3,7.4
20230509,15.3,7.1,0.0,0,15.8,21.2,8.7
20230510,10.8,4.2,4.0,6,13.4,16.2,11.1
20230511,7.2,2.4,0.2,6,13.7,18.8,10.3
20230512,12.0,3.7,0.0,0,16.5,22.4,10.5
20230513,12.2,3.8,0.0,0,15.9,22.5,8.3
20230514,11.8,2.9,0.0,6,15.6,21.7,7.1
20230515,11.8,4.0,0.0,6,14.3,22.3,6.6
20230516,16.5,6.7,1.8,6,10.3,13.4,8.7
20230517,13.4,5.7,0.0,6,9.0,12.0,6.2
20230518,8.2,2.2,0.0,0,10.1,15.8,5.0
20230519,10.8,3.7,0.0,0,12.3,18.9,3.9
20230520,11.3,4.6,0.0,0,13.0,16.7,8.3
20230521,8.7,4.2,0.0,0,17.5,24.2,10.2
20230522,13.4,4.3,9.0,6,19.7,27.6,14.3
20230523,14.9,6.1,0.3,6,12.7,15.7,9.3
20230524,8.2,3.7,0.0,6,12.0,16.1,7.9
20230525,9.6,3.8,0.0,0,12.8,18.7,7.2
20230526,10.3,3.9,0.0,0,11.1,16.1,3.8
20230527,5.1,1.4,0.0,0,13.7,21.1,4.1
20230528,9.6,2.7,0.0,0,15.5,22.4,7.1
20230529,9.8,4.1,0.0,0,13.1,19.7,6.6
20230530,7.7,2.2,0.0,0,12.0,18.3,6.5
20230531,11.3,3.6,0.0,0,14.1,22.1,4.5
20230601,12.7,5.9,0.0,0,12.1,15.3,9.7
20230602,12.3,4.1,0.0,6,13.6,19.3,8.4
20230603,8.4,2.5,0.0,0,14.1,20.7,4.2
20230604,8.2,2.6,0.0,0,14.3,21.5,4.7
20230605,8.1,2.1,0.0,0,16.5,25.1,5.5
20230606,9.4,2.9,0.0,0,17.9,26.1,7.8
20230607,8.1,3.0,0.0,0,15.9,24.0,8.7
20230608,8.2,2.7,0.0,0,17.5,26.3,9.0
20230609,11.3,3.7,0.0,0,19.0,27.6,10.1
20230610,10.6,4.6,0.0,0,19.0,26.5,11.5
20230611,11.3,4.6,0.0,0,19.8,27.8,12.4
20230612,12.9,4.4,0.0,0,21.3,28.3,13.2
20230613,14.4,4.5,0.0,0,18.0,25.6,10.0
20230614,13.2,3.8,0.0,0,18.6,25.3,10.8
20230615,10.6,3.3,0.0,6,18.4,24.9,8.5
20230616,10.6,3.3,0.2,6,17.6,21.0,13.5
20230617,7.7,2.0,-999.0,6,17.8,26.0,12.3
20230618,6.5,1.9,0.0,6,21.1,28.5,10.2
20230619,10.1,3.6,0.1,6,21.9,28.4,14.7
20230620,14.4,2.8,-999.0,6,21.5,28.2,12.6
20230621,11.3,4.1,0.0,0,20.7,25.5,15.5
20230622,10.3,2.7,28.8,6,20.6,27.2,13.7
20230623,11.8,3.8,1.5,6,18.5,23.5,15.4
20230624,8.2,2.3,0.0,0,19.8,26.2,11.4
20230625,6.2,1.8,0.0,0,23.0,28.6,15.0
20230626,18.0,5.2,3.8,6,20.3,27.4,14.5
20230627,18.9,5.1,15.3,6,16.3,20.8,12.9
20230628,9.1,3.4,0.0,0,18.1,23.6,12.1
20230629,9.4,3.0,4.2,6,20.0,23.4,17.0
20230630,8.7,2.9,0.0,6,17.9,22.4,15.0
20230701,11.1,5.0,6.7,6,16.7,18.0,14.4
20230702,17.7,6.7,0.8,6,16.7,20.3,13.9
20230703,14.6,5.3,2.0,6,15.3,19.2,12.8
20230704,15.6,4.8,12.7,6,14.0,19.9,11.2
20230705,20.6,7.9,4.8,6,15.2,19.3,12.1
20230706,10.8,3.8,0.0,6,15.9,21.1,11.0
20230707,8.1,2.6,0.0,0,19.7,26.4,11.2
20230708,8.6,3.2,0.0,0,21.8,30.0,12.7
20230709,14.9,4.0,1.8,6,24.3,31.8,17.2
20230710,11.8,3.8,1.0,6,20.3,24.2,14.2
20230711,12.0,4.0,4.5,6,22.5,30.1,13.7
20230712,14.7,4.1,6.4,6,18.2,22.9,14.6
20230713,16.1,3.9,5.3,6,16.8,22.2,13.0
20230714,8.2,2.8,0.0,6,19.1,23.9,11.5
20230715,18.3,5.8,0.3,6,23.9,31.1,17.5
20230716,16.3,5.9,0.0,6,20.1,23.7,16.4
20230717,14.6,4.8,4.0,6,17.0,21.8,11.9
20230718,9.4,3.1,1.4,6,16.4,22.4,11.6
20230719,7.7,2.1,1.7,6,15.9,20.0,12.5
20230720,12.5,4.1,1.0,6,16.0,19.8,12.2
20230721,14.6,2.7,3.0,6,16.1,21.6,10.5
20230722,11.3,3.8,7.8,6,15.1,20.2,11.9
20230723,12.3,5.0,8.2,6,16.3,18.7,13.5
20230724,19.4,4.2,8.4,6,18.2,24.3,13.8
20230725,12.7,4.3,1.3,6,15.3,19.4,11.7
20230726,14.2,4.1,0.4,6,14.8,19.6,10.5
20230727,10.5,3.5,4.2,6,15.1,17.9,10.9
20230728,6.2,1.6,3.1,6,18.1,22.3,15.4
20230729,18.9,3.1,2.1,6,18.8,24.1,15.3
20230730,17.3,3.8,7.8,6,16.6,21.9,13.8
20230731,9.6,3.8,43.1,6,15.9,17.7,14.5
20230801,10.6,4.3,10.0,6,16.6,19.6,14.8
20230802,11.1,4.6,10.6,6,16.7,19.4,14.6
20230803,10.1,4.4,5.9,6,17.5,21.5,15.5
20230804,11.1,3.7,2.9,6,16.9,20.9,11.4
20230805,8.6,2.7,1.5,6,17.4,22.1,11.8
20230806,7.2,2.4,1.0,6,15.9,18.6,14.4
20230807,22.6,7.3,5.1,6,15.4,18.2,12.1
20230808,20.2,6.7,4.4,6,13.9,17.3,11.9
20230809,14.6,4.9,1.3,6,14.3,19.3,10.1
20230810,8.6,3.0,0.0,0,14.9,20.3,9.3
20230811,7.2,2.2,0.2,6,19.3,26.4,10.3
20230812,13.2,2.2,5.5,6,19.0,21.6,13.5
20230813,9.6,2.9,0.0,0,18.5,24.1,13.7
20230814,6.7,1.9,0.0,6,20.6,27.2,12.8
20230815,10.3,3.1,1.4,6,21.1,25.5,15.3
20230816,6.7,2.2,8.9,6,18.3,23.1,12.5
20230817,10.3,3.4,14.4,6,16.5,17.4,15.2
20230818,7.7,3.3,0.0,0,20.0,25.7,16.1
20230819,10.1,3.7,0.3,6,23.0,28.7,18.0
20230820,7.7,2.5,0.0,0,19.7,25.5,13.4
20230821,8.7,2.2,0.0,0,18.7,24.3,13.1
20230822,6.7,2.2,0.0,0,19.7,25.6,14.5
20230823,8.2,2.3,0.0,6,18.9,24.4,12.7
20230824,7.0,1.9,0.1,6,20.4,24.9,13.9
20230825,7.9,3.0,0.4,6,20.4,22.4,17.8
20230826,10.8,3.5,0.0,6,17.9,20.9,13.5
20230827,13.2,2.7,5.4,6,15.2,20.1,11.2
20230828,9.4,3.8,0.0,6,15.5,20.8,10.3
20230829,6.5,1.6,0.0,0,14.1,20.3,7.5
20230830,8.2,2.6,1.6,6,15.5,20.3,11.0
20230831,12.2,4.2,0.3,6,13.9,17.7,10.6
20230901,7.5,2.7,0.0,4,15.1,19.9,9.4
20230902,7.7,1.8,0.0,0,15.1,22.6,7.3
20230903,8.2,2.4,0.0,0,15.9,20.5,11.0
20230904,6.7,1.5,0.0,0,17.3,24.4,9.6
20230905,5.1,1.6,0.0,0,20.5,30.1,11.6
20230906,10.3,2.4,0.0,0,22.3,29.8,14.2
20230907,10.1,3.2,0.0,0,21.6,28.2,15.5
20230908,8.7,3.3,0.0,0,21.8,29.3,14.0
20230909,5.7,1.8,0.0,0,21.6,30.5,14.4
20230910,6.2,2.0,0.0,0,18.8,24.8,14.3
20230911,6.7,2.0,0.9,6,21.3,29.8,13.9
20230912,6.0,2.0,11.6,6,19.3,21.9,15.0
20230913,8.6,2.9,3.3,6,14.4,17.6,7.7
20230914,6.7,1.3,0.0,4,12.2,19.1,5.4
20230915,11.7,3.2,0.0,0,15.3,21.8,7.8
20230916,8.2,3.3,0.0,0,18.5,25.0,13.0
20230917,8.7,2.8,0.0,6,19.0,24.6,11.1
20230918,12.9,5.2,1.8,6,20.0,23.8,16.5
20230919,18.2,8.3,0.1,6,16.9,19.1,13.7
20230920,13.4,6.7,0.0,0,19.6,24.1,16.3
20230921,12.2,5.3,0.9,6,20.0,26.5,15.2
20230922,11.3,4.4,1.9,6,15.8,19.9,10.0
20230923,12.0,3.5,0.3,6,13.3,17.4,9.5
20230924,8.7,2.6,0.0,0,13.0,17.8,7.1
20230925,11.3,4.2,0.0,0,14.5,20.9,9.3
20230926,7.4,2.2,0.0,0,15.3,22.6,8.2
