date,max_wind_speed,mean_wind_speed,precipitation_height,precipitation_catgeory,mean_temperature,max_temperature,min_temperature
20240220,12.9,5.4,0.6,6,8.0,9.6,6.5
20240221,11.3,5.3,5.3,6,8.7,9.7,7.5
20240222,21.9,5.8,0.8,6,9.7,11.7,7.4
20240223,23.0,8.5,0.7,6,6.8,10.0,4.6
20240224,17.8,3.9,1.8,6,4.9,9.2,1.6
20240225,14.7,3.9,3.4,6,4.8,8.2,1.9
20240226,7.4,2.4,0.0,0,2.6,6.8,-2.1
20240227,7.0,2.3,0.0,0,3.8,5.3,2.8
20240228,7.2,3.5,0.0,0,4.7,7.3,2.1
20240229,11.7,5.9,0.0,0,7.3,13.0,2.0
20240301,7.9,4.0,0.4,6,7.3,11.8,2.5
20240302,8.6,3.7,0.0,0,9.4,13.4,7.2
20240303,10.1,4.1,0.0,0,8.6,14.2,3.2
20240304,9.9,3.7,0.0,0,7.4,13.4,4.3
20240305,11.7,5.6,0.0,6,5.0,8.5,3.7
20240306,7.7,3.3,0.0,0,4.3,8.0,1.3
20240307,9.1,4.1,0.0,0,3.7,7.5,0.3
20240308,12.2,4.7,0.0,0,3.3,8.7,-1.7
20240309,16.1,6.0,0.0,0,5.5,10.4,1.1
20240310,12.7,5.8,0.0,0,6.7,11.6,2.2
20240311,9.9,4.3,0.0,6,6.7,8.6,4.4
20240312,6.7,2.2,0.0,6,7.1,10.6,2.6
20240313,8.2,3.5,0.5,6,7.8,11.3,2.1
20240314,11.7,4.9,0.0,6,12.3,17.0,9.0
20240315,12.2,4.2,10.8,6,11.7,15.0,8.3
20240316,15.6,6.5,0.4,6,8.2,11.0,3.9
20240317,8.2,2.7,0.0,0,5.6,10.1,0.4
20240318,9.8,5.5,0.2,4,5.7,9.8,2.5
20240319,8.6,4.9,0.4,4,7.5,11.6,2.2
20240320,5.1,1.6,3.3,6,11.4,15.5,7.6
20240321,13.5,3.8,0.1,6,9.1,11.3,6.5
20240322,10.3,4.7,0.8,6,9.1,10.6,6.5
20240323,18.0,4.1,0.7,6,5.8,10.1,3.2
20240324,14.7,6.3,1.6,6,5.7,8.8,3.0
20240325,10.3,3.6,0.6,6,6.1,10.1,1.5
20240326,13.5,5.0,0.0,0,7.3,11.8,1.1
20240327,7.4,2.8,0.7,6,10.4,17.6,4.5
20240328,18.0,4.8,9.4,6,8.0,13.1,5.5
20240329,10.8,4.8,0.0,6,9.4,13.2,6.0
20240330,11.1,3.5,0.0,0,13.6,18.9,9.0
20240331,6.2,2.3,0.7,6,9.6,13.3,7.9
20240401,14.6,3.5,16.1,6,8.8,10.8,6.4
20240402,14.7,5.5,5.7,6,9.5,13.4,8.3
20240403,7.7,3.3,6.5,6,7.9,10.6,4.1
20240404,13.9,4.7,7.8,6,10.6,12.7,9.1
20240405,15.4,5.1,5.3,6,12.8,15.7,9.0
20240406,11.1,4.4,0.0,0,16.6,22.2,9.9
20240407,14.6,4.3,4.0,6,17.2,20.9,13.4
20240408,7.4,2.6,0.0,6,15.0,19.9,11.5
20240409,17.1,4.2,2.4,6,13.4,18.1,9.6
20240410,13.7,4.9,0.1,6,10.2,14.3,6.2
20240411,11.1,5.3,1.4,6,11.7,13.8,7.8
20240412,13.4,4.6,0.0,6,13.5,19.0,7.8
20240413,13.7,4.4,0.1,6,15.3,20.1,8.0
20240414,16.3,6.6,0.0,0,10.9,15.2,5.6
20240415,14.7,4.7,4.9,6,8.1,13.4,2.9
20240416,11.1,4.0,2.6,6,6.7,10.2,4.2
20240417,10.1,2.3,1.3,6,6.6,12.0,1.6
20240418,12.9,3.4,4.4,6,6.0,11.6,-1.0
20240419,15.9,6.2,5.9,6,6.6,10.8,4.1
20240420,8.4,2.7,1.2,6,5.5,9.4,1.7
20240421,12.3,3.2,0.9,6,5.2,10.1,1.1
20240422,10.3,2.8,0.0,6,3.8,8.1,-0.9
20240423,12.3,3.7,0.7,6,4.3,8.9,-2.1
20240424,8.2,3.2,2.7,6,5.0,8.1,3.5
20240425,11.5,2.6,4.6,6,6.2,9.3,3.0
20240426,11.7,4.0,1.5,6,6.8,11.3,2.7
20240427,11.1,3.7,1.9,6,11.3,18.6,2.3
20240428,13.9,4.7,0.0,6,15.4,21.0,8.8
20240429,10.5,3.3,0.0,6,14.6,20.4,6.0
20240430,10.1,3.9,0.0,0,16.6,22.7,10.6
20240501,14.4,5.0,0.0,0,17.5,25.9,9.3
20240502,15.1,6.3,0.0,0,18.2,25.6,10.6
20240503,10.6,5.1,0.0,0,16.2,21.9,11.3
20240504,6.9,2.4,6.0,6,14.9,18.6,10.9
20240505,12.5,5.3,2.0,6,12.2,15.4,9.0
20240506,7.2,3.0,0.0,0,12.7,18.0,6.7
20240507,8.6,3.3,0.0,0,12.1,16.7,7.1
20240508,9.3,2.5,0.0,0,12.1,17.9,5.3
20240509,7.7,2.1,0.0,0,13.4,19.4,4.6
20240510,8.2,3.0,0.0,0,14.5,19.3,9.6
20240511,8.9,3.0,0.0,0,14.4,20.0,10.1
20240512,12.7,4.6,0.0,0,15.0,20.7,9.5
20240513,12.2,5.5,0.0,0,18.4,25.2,11.0
20240514,13.2,5.8,0.0,0,19.6,25.3,12.6
20240515,15.4,6.2,0.0,0,20.5,26.3,13.9
20240516,18.5,7.0,0.0,0,21.2,26.5,15.2
20240517,13.5,6.0,0.0,0,20.0,25.8,12.5
20240518,10.8,3.6,0.8,6,17.0,22.9,10.9
20240519,10.6,2.6,0.0,6,15.9,22.5,10.0
20240520,11.3,2.7,0.3,6,16.0,22.7,9.4
20240521,11.5,5.6,1.1,6,17.0,23.4,12.2
20240522,10.3,4.1,28.4,6,15.8,20.2,14.3
20240523,9.3,3.0,0.0,0,16.4,21.8,10.9
20240524,11.1,3.6,0.1,6,17.2,22.8,9.4
20240525,5.7,2.5,1.6,6,16.8,20.9,13.9
20240526,9.1,2.8,0.9,6,18.2,24.1,13.6
